item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000124,O000044,P0374,3,9325.88,19.08
I0000125,O000044,P0499,1,562.45,43.99
I0000126,O000044,P0336,4,1933.46,43.49
I0000127,O000044,P0001,2,79632.63,46.43
I0000128,O000044,P0231,4,5519.71,15.97
I0000129,O000045,P0381,5,1714.04,21.6
I0000130,O000045,P0130,4,9054.27,23.79
I0000131,O000045,P0030,1,47721.24,19.93
I0000132,O000045,P0456,4,1165.61,6.74
I0000133,O000046,P0221,1,4799.57,34.24
I0000134,O000046,P0022,5,112236.1,21.18
I0000135,O000047,P0277,4,6242.14,46.21
I0000136,O000047,P0167,2,10846.13,37.89
I0000137,O000047,P0223,1,2444.65,47.45
I0000138,O000047,P0009,2,158078.07,0.69
I0000139,O000047,P0310,1,22718.13,16.59
I0000140,O000048,P0285,4,30251.97,2.17
I0000141,O000049,P0011,4,87829.63,45.64
I0000142,O000050,P0003,1,83162.64,29.86
I0000143,O000050,P0245,1,1382.25,22.9
I0000144,O000050,P0069,1,79956.92,15.25
I0000145,O000050,P0260,4,5970.47,17.34
I0000146,O000050,P0374,3,7645.51,49.8
I0000147,O000051,P0124,3,63762.14,19.64
I0000148,O000051,P0469,2,1790.59,48.03
I0000149,O000051,P0273,5,7010.28,20.87
I0000150,O000051,P0191,5,1812.53,45.49
I0000151,O000051,P0430,3,2733.79,32.62
I0000152,O000052,P0335,2,16005.26,7.9
I0000153,O000052,P0040,1,59854.64,5.92
I0000154,O000052,P0187,3,5981.49,1.47
I0000155,O000052,P0212,3,5633.47,20.56
I0000156,O000053,P0283,5,7928.25,30.62
I0000157,O000054,P0150,2,10624.65,6.88
I0000158,O000054,P0124,2,65581.05,48.44
I0000159,O000054,P0012,3,56627.09,33.57
I0000160,O000055,P0439,2,1505.49,30.4
I0000161,O000055,P0019,4,60360.34,46.96
I0000162,O000055,P0131,5,3919.19,43.79
I0000163,O000055,P0327,1,31425.51,41.35
I0000164,O000056,P0491,1,2499.86,44.22
I0000165,O000056,P0128,3,5007.61,30.66
I0000166,O000056,P0448,1,562.19,23.18
I0000167,O000056,P0459,4,814.19,8.99
I0000168,O000056,P0127,5,3838.05,6.77
I0000169,O000057,P0459,3,862.35,35.57
I0000170,O000058,P0154,5,8062.65,19.03
I0000171,O000058,P0363,2,36538.78,32.98
I0000172,O000058,P0095,2,80043.67,38.46
I0000173,O000058,P0015,1,102632.82,38.43
I0000174,O000058,P0052,4,117399.21,44.93
I0000175,O000059,P0445,4,896.25,23.79
I0000176,O000059,P0268,4,12057.04,0.33
I0000177,O000059,P0201,5,12292.85,41.01
I0000178,O000059,P0122,2,128342.73,32.66
I0000179,O000059,P0385,1,582.78,28.9
I0000180,O000060,P0141,5,11253.93,48.31
I0000181,O000060,P0173,5,7298.11,38.43
I0000182,O000060,P0323,3,23499.96,3.38
I0000183,O000060,P0094,4,42831.47,23.54
I0000184,O000060,P0115,1,131534.45,26.35
I0000185,O000061,P0104,5,139085.4,14.36
I0000186,O000061,P0420,5,1015.4,28.76
I0000187,O000061,P0311,5,29235.55,28.13
I0000188,O000061,P0294,5,16735.56,40.4
I0000189,O000062,P0383,5,3317.59,16.69
I0000190,O000062,P0253,5,23662.26,32.03
I0000191,O000063,P0491,3,2632.43,48.01
I0000192,O000063,P0142,2,2040.44,46.11
I0000193,O000063,P0217,4,1230.43,32.28
I0000194,O000064,P0228,3,4176.24,27.76
I0000195,O000064,P0035,1,33663.31,39.98
I0000196,O000064,P0199,3,4284.07,42.04
I0000197,O000064,P0144,3,4398.86,42.12
I0000198,O000064,P0493,5,1491.81,5.84
I0000199,O000065,P0044,4,135397.75,26.26
I0000200,O000065,P0275,2,22947.5,38.89
I0000201,O000065,P0015,1,89986.2,24.13
I0000202,O000066,P0389,5,593.43,36.23
I0000203,O000067,P0171,4,9851.8,38.31
I0000204,O000067,P0230,-3,6773.86,31.94
I0000205,O000067,P0497,2,2314.93,13.83
I0000206,O000068,P0104,5,107983.03,7.08
I0000207,O000068,P0316,3,29952.86,15.57
I0000208,O000069,P0500,1,1931.97,35.23
I0000209,O000069,P0071,5,86073.18,22.29
I0000210,O000069,P0110,3,146889.85,35.64
I0000211,O000069,P0321,5,3010.09,38.22
I0000212,O000070,P0304,2,19823.49,44.79
I0000213,O000070,P0325,3,28878.86,34.98
I0000214,O000070,P0054,3,106701.87,22.66
I0000215,O000070,P0498,1,1632.65,23.93
I0000216,O000071,P0234,5,7150.77,26.64
I0000217,O000071,P0246,4,5486.64,12.18
I0000218,O000071,P0442,2,1903.47,17.04
I0000219,O000072,P0010,5,71861.23,29.8
I0000220,O000073,P0235,4,3576.56,10.88
I0000221,O000073,P0183,2,4203.98,31.81
I0000222,O000073,P0134,1,5087.61,22.65
I0000223,O000074,P0064,3,97744.03,30.57
I0000224,O000074,P0042,5,40922.19,14.71
I0000225,O000074,P0351,3,39843.53,0.04
I0000226,O000074,P0353,5,34925.35,43.06
I0000227,O000075,P0024,4,35363.1,23.74
I0000228,O000075,P0115,2,164435.67,18.01
I0000229,O000075,P0225,4,1582.26,33.5
I0000230,O000075,P0274,-2,16728.33,7.2
I0000231,O000076,P0011,4,80950.07,21.21
I0000232,O000076,P0384,4,3186.7,21.24
I0000233,O000076,P0455,1,3265.02,11.84
I0000234,O000076,P0465,5,2560.74,28.82
I0000235,O000076,P0389,1,714.59,35.24
I0000236,O000077,P0312,5,37706.69,4.42
I0000237,O000077,P0210,4,2105.36,33.44
I0000238,O000077,P0018,5,103823.7,2.64
I0000239,O000077,P0394,3,2174.4,22.7
I0000240,O000078,P0276,3,2546.47,8.45
I0000241,O000078,P0152,1,774.92,36.87
I0000242,O000078,P0394,1,2251.96,25.28
I0000243,O000078,P0019,3,65948.41,13.76
I0000244,O000078,P0014,-3,140635.14,8.73
I0000245,O000079,P0309,2,19500.98,17.14
I0000246,O000079,P0348,1,3495.87,41.09
I0000247,O000079,P0064,4,91318.69,19.16
I0000248,O000079,P0101,4,144941.41,28.89
I0000249,O000080,P0246,3,7226.02,46.12
I0000250,O000080,P0222,2,11981.58,23.73
I0000251,O000080,P0451,2,1310.65,14.44
I0000252,O000080,P0191,4,1412.96,26.51
I0000253,O000081,P0403,3,3084.81,32.72
I0000254,O000081,P0489,4,1195.37,12.09
I0000255,O000081,P0022,5,105859.41,33.89
I0000256,O000082,P0251,3,10813.58,9.65
I0000257,O000082,P0168,1,7213.14,29.71
I0000258,O000082,P0326,2,28431.37,35.4
I0000259,O000082,P0222,1,11534.66,18.8
I0000260,O000083,P0481,4,2782.17,21.35
I0000261,O000084,P0283,3,6871.3,40.64
I0000262,O000084,P0006,2,159565.1,46.43
I0000263,O000084,P0387,5,753.28,5.42
I0000264,O000084,P0468,5,2799.56,32.17
I0000265,O000085,P0381,4,2165.29,46.64
I0000266,O000086,P0052,4,146851.16,40.61
I0000267,O000086,P0146,1,1797.27,47.71
I0000268,O000086,P0322,4,32704.24,49.58
I0000269,O000086,P0443,3,1713.07,31.61
I0000270,O000087,P0271,2,15632.48,33.04
I0000271,O000087,P0463,3,3500.2,31.53
I0000272,O000088,P0367,4,27919.1,15.39
I0000273,O000088,P0078,5,119964.93,48.33
I0000274,O000088,P0415,1,2506.14,39.39
I0000275,O000088,P0003,1,74025.75,32.69
I0000276,O000089,P0051,4,133262.59,45.9
I0000277,O000089,P0316,1,36540.16,0.72
I0000278,O000090,P0361,4,12784.55,3.16
I0000279,O000091,P0207,2,10707.13,16.78
I0000280,O000091,P0443,1,1967.78,8.4
I0000281,O000091,P0122,3,145692.33,46.28
I0000282,O000092,P0239,1,1152.34,32.59
I0000283,O000093,P0121,2,50792.83,1.88
I0000284,O000093,P0398,2,2547.5,4.4
I0000285,O000093,P0137,3,1779.41,11.78
I0000286,O000093,P0446,1,4399.01,30.95
I0000287,O000094,P0388,2,1367.52,42.19
I0000288,O000095,P0276,4,2694.39,44.5
I0000289,O000095,P0237,4,13149.13,46.24
I0000290,O000096,P0389,5,611.8,33.84
I0000291,O000096,P0436,3,1492.3,11.39
I0000292,O000096,P0194,2,8903.04,18.78
I0000293,O000096,P0495,2,3359.24,2.72
I0000294,O000096,P0444,4,3634.13,22.75
I0000295,O000097,P0076,1,51324.35,6.83
I0000296,O000097,P0438,4,2179.86,17.18
I0000297,O000098,P0499,4,599.76,49.78
I0000298,O000099,P0365,4,15437.04,29.59
I0000299,O000099,P0370,2,11767.19,20.89
I0000300,O000099,P0255,1,14483.57,38.43
I0000301,O000100,P0204,1,1372.6,36.59
I0000302,O000100,P0327,2,29428.17,32.38
I0000303,O000101,P0490,4,1575.69,20.27
I0000304,O000101,P0135,3,3461.62,0.07
I0000305,O000101,P0224,1,11766.24,26.55
I0000306,O000101,P0264,3,14683.04,47.3
I0000307,O000102,P0366,3,5749.83,18.28
I0000308,O000102,P0271,5,12466.07,32.41
I0000309,O000102,P0402,1,2381.13,6.92
I0000310,O000102,P0457,3,850.54,23.92
I0000311,O000102,P0397,5,2166.63,37.66
I0000312,O000103,P0121,4,49161.26,6.14
I0000313,O000103,P0447,5,2741.32,14.61
I0000314,O000103,P0403,5,3930.19,34.66
I0000315,O000104,P0342,2,19474.22,24.82
I0000316,O000105,P0032,3,103805.33,1.07
I0000317,O000105,P0479,2,3326.4,11.62
I0000318,O000105,P0276,5,2483.18,17.14
I0000319,O000105,P0289,3,23243.33,26.51
I0000320,O000106,P0180,4,3486.93,42.28
I0000321,O000106,P0028,2,24755.7,8.32
I0000322,O000107,P0003,2,100202.78,28.73
I0000323,O000107,P0353,4,32338.44,28.12
I0000324,O000108,P0044,1,146969.16,7.27
I0000325,O000109,P0193,3,3313.31,49.7
I0000326,O000109,P0053,2,86560.63,46.11
I0000327,O000109,P0333,3,11305.88,45.01
I0000328,O000109,P0291,2,25543.54,1.24
I0000329,O000110,P0496,-2,2494.74,22.27
I0000330,O000110,P0183,1,3467.18,24.52
I0000331,O000110,P0208,5,5204.33,45.42
I0000332,O000111,P0231,5,5964.6,22.21
I0000333,O000111,P0134,4,4375.87,40.28
I0000334,O000111,P0475,4,907.7,41.78
I0000335,O000111,P0187,5,6155.07,23.73
I0000336,O000112,P0435,4,3595.1,28.4
I0000337,O000112,P0048,2,165302.08,14.47
I0000338,O000112,P0054,4,104623.08,41.73
I0000339,O000113,P0276,3,2565.75,34.39
I0000340,O000114,P0345,4,36947.81,18.66
I0000341,O000114,P0013,-5,34372.79,29.08
I0000342,O000114,P0028,2,29013.39,6.77
I0000343,O000115,P0145,1,9590.27,9.16
I0000344,O000115,P0490,1,1188.07,16.13
I0000345,O000115,P0107,3,77376.83,15.05
I0000346,O000115,P0186,3,4999.85,41.17
I0000347,O000115,P0319,1,20366.54,38.94
I0000348,O000116,P0191,4,1291.46,6.56
I0000349,O000116,P0141,1,10153.19,18.13
I0000350,O000116,P0460,4,1548.88,38.18
I0000351,O000116,P0002,3,102397.84,37.22
I0000352,O000117,P0442,1,2215.59,37.87
I0000353,O000117,P0064,1,76931.61,32.99
I0000354,O000117,P0398,5,2066.56,12.65
I0000355,O000117,P0074,1,123371.93,4.83
I0000356,O000118,P0147,3,802.47,8.03
I0000357,O000118,P0394,5,2825.57,25.25
I0000358,O000119,P0331,1,19419.22,10.7
I0000359,O000119,P0029,5,38957.07,34.91
I0000360,O000119,P0377,2,2486.41,9.04
I0000361,O000119,P0175,3,1327.5,25.71
I0000362,O000119,P0215,4,2887.49,6.18
I0000363,O000120,P0306,1,33135.26,36.81
I0000364,O000120,P0174,4,10738.47,49.25
I0000365,O000120,P0265,4,27447.21,42.05
I0000366,O000120,P0049,4,103791.89,0.64
I0000367,O000121,P0396,4,3366.61,37.07
I0000368,O000121,P0035,2,37294.95,16.93
I0000369,O000121,P0421,5,3491.0,11.64
I0000370,O000121,P0433,4,1892.42,35.67
I0000371,O000122,P0202,3,1221.3,6.11
I0000372,O000122,P0367,4,28884.18,6.73
I0000373,O000122,P0441,1,2858.0,24.91
I0000374,O000122,P0497,1,2515.63,33.96
I0000375,O000122,P0398,2,2558.41,38.01
I0000376,O000123,P0125,3,44566.22,0.88
I0000377,O000123,P0418,1,2609.98,5.96
I0000378,O000123,P0471,4,1594.36,22.98
I0000379,O000123,P0157,1,3763.17,38.97
I0000380,O000123,P0070,2,63033.21,35.79
I0000381,O000124,P0074,5,153837.15,19.57
I0000382,O000124,P0306,4,32067.84,33.82
I0000383,O000124,P0468,3,2559.48,2.26
I0000384,O000124,P0341,3,34707.29,1.34
I0000385,O000125,P0278,2,10704.73,4.25
I0000386,O000125,P0075,1,108678.73,8.49
I0000387,O000126,P0088,4,124895.25,18.89
I0000388,O000127,P0163,5,14077.97,10.09
I0000389,O000127,P0375,1,4524.96,14.37
I0000390,O000128,P0262,3,8680.57,26.55
I0000391,O000128,P0468,4,3528.06,32.58
I0000392,O000128,P0489,3,1027.65,33.17
I0000393,O000128,P0031,3,62078.96,31.25
I0000394,O000128,P0195,4,12202.93,44.04
I0000395,O000129,P0105,5,113141.68,45.34
I0000396,O000129,P0469,5,1548.31,10.03
I0000397,O000129,P0432,4,623.21,34.27
I0000398,O000130,P0002,3,100254.63,30.06
I0000399,O000130,P0031,4,55558.16,1.39
I0000400,O000130,P0492,3,872.53,21.81
I0000401,O000131,P0114,2,89108.21,36.12
I0000402,O000131,P0483,1,2015.99,15.7
I0000403,O000131,P0327,3,37180.49,20.35
I0000404,O000131,P0310,3,26528.98,19.84
I0000405,O000131,P0447,2,2782.57,25.01
I0000406,O000132,P0447,3,2962.52,40.29
I0000407,O000132,P0300,2,30822.43,5.34
I0000408,O000132,P0184,2,8666.25,12.72
I0000409,O000133,P0500,2,2193.47,41.07
I0000410,O000133,P0349,1,17171.47,1.74
I0000411,O000133,P0433,1,2316.24,11.98
I0000412,O000134,P0129,-4,9252.81,46.38
I0000413,O000134,P0431,3,3182.84,37.83
I0000414,O000134,P0453,3,484.12,45.79
I0000415,O000134,P0277,3,7076.69,20.31
I0000416,O000135,P0004,2,168175.66,17.59
I0000417,O000136,P0421,-2,3194.48,15.28
I0000418,O000136,P0410,5,1800.39,25.82
I0000419,O000136,P0093,2,186346.02,39.63
I0000420,O000136,P0071,3,91940.63,6.68
I0000421,O000137,P0442,-2,1615.34,27.93
I0000422,O000137,P0151,5,9264.38,48.71
I0000423,O000137,P0355,2,25014.26,2.49
I0000424,O000137,P0486,5,1430.45,4.45
I0000425,O000137,P0233,3,6311.77,0.71
I0000426,O000138,P0391,4,3499.55,10.33
I0000427,O000138,P0054,2,84511.71,33.86
I0000428,O000138,P0447,4,3022.29,1.44
I0000429,O000139,P0134,1,5490.21,48.72
I0000430,O000140,P0317,1,22643.53,23.55
I0000431,O000140,P0496,3,2888.75,48.36
I0000432,O000140,P0385,5,805.7,0.27
I0000433,O000140,P0247,5,9046.56,19.73
I0000434,O000140,P0215,3,2798.11,2.06
I0000435,O000141,P0125,4,37133.86,2.21
I0000436,O000141,P0031,2,76836.26,14.05
I0000437,O000141,P0157,3,3230.43,43.85
I0000438,O000141,P0368,5,26248.21,25.85
I0000439,O000141,P0216,4,6044.89,49.73
I0000440,O000142,P0097,2,72428.79,35.3
I0000441,O000142,P0216,4,7558.06,24.75
I0000442,O000143,P0214,3,8647.15,9.03
I0000443,O000144,P0231,5,6385.65,12.31
I0000444,O000144,P0424,4,1196.79,1.3
I0000445,O000144,P0076,1,64548.51,47.56
I0000446,O000144,P0192,3,3689.43,41.53
I0000447,O000144,P0054,4,109396.72,29.71
I0000448,O000145,P0473,1,1715.64,39.91
I0000449,O000145,P0259,1,6160.81,4.63
I0000450,O000146,P0302,2,14772.56,21.62
I0000451,O000146,P0030,3,54912.59,17.95
I0000452,O000146,P0018,1,112809.94,24.48
I0000453,O000147,P0228,2,3783.0,2.02
I0000454,O000147,P0319,3,23892.96,32.38
I0000455,O000147,P0241,2,4374.76,32.36
I0000456,O000147,P0017,1,67263.98,45.36
I0000457,O000147,P0071,4,95481.96,34.22
I0000458,O000148,P0486,1,1527.2,23.23
I0000459,O000148,P0025,5,76579.8,29.28
I0000460,O000148,P0405,-5,1330.74,23.14
I0000461,O000148,P0023,2,116893.38,20.81
I0000462,O000148,P0001,3,76128.62,37.87
I0000463,O000149,P0332,3,2608.49,26.72
I0000464,O000149,P0053,1,63870.3,32.79
I0000465,O000149,P0291,4,34616.48,48.29
I0000466,O000149,P0203,5,4971.19,40.66
I0000467,O000149,P0387,5,761.34,34.51
I0000468,O000150,P0493,2,1463.01,12.09
I0000469,O000151,P0028,1,21696.38,35.13
I0000470,O000152,P0207,-3,10861.25,35.65
I0000471,O000153,P0298,5,23339.89,33.93
I0000472,O000153,P0035,4,25831.43,0.95
I0000473,O000153,P0469,5,1551.04,44.64
I0000474,O000153,P0290,4,12921.01,31.13
I0000475,O000154,P0495,2,3362.58,34.25
I0000476,O000154,P0347,5,19595.29,23.42
I0000477,O000154,P0204,3,1630.38,20.84
I0000478,O000154,P0270,3,30965.79,42.23
I0000479,O000155,P0242,4,8372.69,49.69
I0000480,O000155,P0357,3,16892.14,49.96
I0000481,O000155,P0242,3,8168.43,7.93
I0000482,O000155,P0364,5,16518.67,21.53
I0000483,O000155,P0200,5,12102.86,24.32
I0000484,O000156,P0265,4,39290.71,37.79
I0000485,O000157,P0012,1,53964.73,10.27
I0000486,O000157,P0089,3,124887.73,22.08
I0000487,O000157,P0350,5,6657.45,7.71
I0000488,O000157,P0493,3,1457.98,42.43
I0000489,O000157,P0046,4,84343.06,0.33
I0000490,O000158,P0382,2,1641.96,21.09
I0000491,O000158,P0002,2,107913.36,45.9
I0000492,O000158,P0035,4,31540.62,34.11
I0000493,O000159,P0035,4,27130.33,3.07
I0000494,O000159,P0423,1,897.06,45.13
I0000495,O000159,P0201,1,13936.23,39.95
I0000496,O000160,P0382,-3,1359.47,26.39
I0000497,O000160,P0230,2,6006.95,10.26
I0000498,O000160,P0315,5,32998.48,22.11
I0000499,O000161,P0096,2,55806.99,10.69
I0000500,O000161,P0492,5,859.41,37.85
I0000501,O000161,P0414,-2,573.36,27.0
I0000502,O000161,P0196,3,10325.89,36.33
I0000503,O000162,P0199,3,3996.86,16.95
I0000504,O000162,P0091,2,148918.27,28.28
I0000505,O000162,P0289,5,19476.61,14.96
I0000506,O000162,P0287,5,9892.28,25.98
I0000507,O000163,P0331,4,19081.56,44.43
I0000508,O000163,P0362,4,9974.52,33.84
I0000509,O000163,P0131,4,3909.44,19.74
I0000510,O000163,P0322,3,34009.11,49.83
I0000511,O000164,P0020,2,95582.03,26.46
I0000512,O000164,P0085,2,62468.02,7.84
I0000513,O000164,P0179,5,11132.61,30.08
I0000514,O000164,P0424,4,982.17,14.48
I0000515,O000165,P0003,5,98296.56,15.26
I0000516,O000165,P0277,3,7210.67,24.44
I0000517,O000166,P0414,4,562.12,6.64
I0000518,O000166,P0169,2,1651.11,22.5
I0000519,O000166,P0251,4,12919.03,4.47
I0000520,O000166,P0479,5,2791.07,11.64
I0000521,O000167,P0351,5,37208.18,15.44
I0000522,O000168,P0313,5,2681.25,46.81
I0000523,O000168,P0005,2,27861.03,10.29
I0000524,O000168,P0347,5,20257.24,30.34
I0000525,O000168,P0458,4,1642.43,46.69
I0000526,O000169,P0371,5,31992.85,12.78
I0000527,O000170,P0007,3,90949.88,20.64
I0000528,O000171,P0371,5,31560.83,3.03
I0000529,O000171,P0153,4,2599.9,1.45
I0000530,O000171,P0077,2,27573.99,27.7
I0000531,O000171,P0051,5,121134.48,27.74
I0000532,O000171,P0255,2,14108.94,4.2
I0000533,O000172,P0321,4,2896.66,48.06
I0000534,O000172,P0050,5,42794.2,0.03
I0000535,O000172,P0075,4,115690.27,34.0
I0000536,O000172,P0328,3,10491.84,42.03
I0000537,O000172,P0094,3,56817.17,28.15
I0000538,O000173,P0099,5,130601.51,44.2
I0000539,O000173,P0226,3,6190.18,35.39
I0000540,O000174,P0083,5,45478.72,33.64
I0000541,O000175,P0193,1,3387.77,22.26
I0000542,O000175,P0289,1,24524.36,41.37
I0000543,O000175,P0075,3,145925.25,40.59
I0000544,O000175,P0338,1,21027.23,9.65
I0000545,O000175,P0410,1,1685.21,14.06
I0000546,O000176,P0498,4,1573.85,24.64
I0000547,O000176,P0203,5,4740.82,41.06
I0000548,O000177,P0080,5,32814.2,12.98
I0000549,O000178,P0191,-4,1480.95,33.65
I0000550,O000178,P0267,1,8400.12,42.22
I0000551,O000178,P0454,4,3405.1,23.33
I0000552,O000178,P0385,3,585.94,36.06
I0000553,O000178,P0486,1,1531.65,22.44
I0000554,O000179,P0226,1,4564.0,16.46
I0000555,O000179,P0021,1,43182.1,24.0
I0000556,O000179,P0222,1,11630.36,16.72
I0000557,O000179,P0211,3,4237.61,47.94
I0000558,O000180,P0131,4,3236.78,3.03
I0000559,O000181,P0347,5,14908.58,33.88
I0000560,O000181,P0486,5,1803.71,20.08
I0000561,O000181,P0278,5,10339.03,29.98
I0000562,O000182,P0136,1,3511.89,9.62
I0000563,O000182,P0471,-1,1820.44,29.64
I0000564,O000182,P0476,2,506.8,25.44
I0000565,O000183,P0041,5,136098.6,37.72
I0000566,O000183,P0054,3,94068.98,7.28
I0000567,O000183,P0332,4,2901.46,18.44
I0000568,O000184,P0413,3,3243.14,45.43
I0000569,O000184,P0473,1,2004.9,34.74
I0000570,O000184,P0191,4,1422.4,28.92
I0000571,O000184,P0313,3,3058.61,8.11
I0000572,O000185,P0038,5,58236.23,38.42
I0000573,O000185,P0049,3,104163.24,20.02
I0000574,O000185,P0206,1,4681.29,1.5
I0000575,O000185,P0425,1,1076.34,31.57
I0000576,O000186,P0456,3,1228.86,9.8
I0000577,O000186,P0238,2,4031.8,1.05
I0000578,O000187,P0408,2,3870.31,49.88
I0000579,O000187,P0050,4,29738.81,7.22
I0000580,O000187,P0109,2,152806.72,18.91
I0000581,O000188,P0006,3,149060.22,2.66
